,rep,k,m,n,noise_level,beta,alpha,error,rel_error,loss
0,0,20,128,1024,0.0,0.5,tensor(0.7489),tensor(0.0004),tensor(0.0003),tensor(0.0003)
1,0,20,128,1024,0.0,0.5166666666666667,tensor(0.7670),tensor(0.0004),tensor(0.0002),tensor(0.0003)
2,0,20,128,1024,0.0,0.5333333333333333,tensor(0.7847),tensor(0.0004),tensor(0.0002),tensor(0.0003)
3,0,20,128,1024,0.0,0.55,tensor(0.8019),tensor(0.0005),tensor(0.0003),tensor(0.0003)
4,0,20,128,1024,0.0,0.5666666666666667,tensor(0.8184),tensor(0.0006),tensor(0.0003),tensor(0.0004)
5,0,20,128,1024,0.0,0.5833333333333334,tensor(0.8343),tensor(0.0007),tensor(0.0004),tensor(0.0005)
6,0,20,128,1024,0.0,0.6,tensor(0.8494),tensor(0.0007),tensor(0.0004),tensor(0.0004)
7,0,20,128,1024,0.0,0.6166666666666667,tensor(0.8639),tensor(0.0006),tensor(0.0003),tensor(0.0003)
8,0,20,128,1024,0.0,0.6333333333333333,tensor(0.8775),tensor(0.0007),tensor(0.0004),tensor(0.0004)
9,0,20,128,1024,0.0,0.65,tensor(0.8904),tensor(0.0008),tensor(0.0004),tensor(0.0005)
10,0,20,128,1024,0.0,0.6666666666666666,tensor(0.9025),tensor(0.0009),tensor(0.0005),tensor(0.0005)
11,0,20,128,1024,0.0,0.6833333333333333,tensor(0.9138),tensor(0.0010),tensor(0.0005),tensor(0.0005)
12,0,20,128,1024,0.0,0.7,tensor(0.9244),tensor(0.0011),tensor(0.0006),tensor(0.0005)
13,0,20,128,1024,0.0,0.7166666666666667,tensor(0.9341),tensor(0.0016),tensor(0.0008),tensor(0.0006)
14,0,20,128,1024,0.0,0.7333333333333334,tensor(0.9431),tensor(0.0015),tensor(0.0008),tensor(0.0005)
15,0,20,128,1024,0.0,0.75,tensor(0.9513),tensor(0.0016),tensor(0.0008),tensor(0.0005)
16,0,20,128,1024,0.0,0.7666666666666666,tensor(0.9586),tensor(0.0019),tensor(0.0010),tensor(0.0006)
17,0,20,128,1024,0.0,0.7833333333333333,tensor(0.9653),tensor(0.0025),tensor(0.0013),tensor(0.0007)
